Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,10/5/2015,8097.5,CO$/KG
Cacao Nacional,10/12/2015,7827.5,CO$/KG
Cacao Nacional,10/19/2015,7625,CO$/KG
Cacao Nacional,10/26/2015,7762.5,CO$/KG
Cacao Nacional,11/2/2015,7960,CO$/KG
Cacao Nacional,11/9/2015,7807.5,CO$/KG
Cacao Nacional,11/16/2015,8112.5,CO$/KG
Cacao Nacional,11/23/2015,8537.5,CO$/KG
Cacao Nacional,11/30/2015,8672.5,CO$/KG
Cacao Nacional,12/7/2015,8800,CO$/KG
Cacao Nacional,12/14/2015,9245,CO$/KG
Cacao Nacional,12/21/2015,9342.5,CO$/KG
Cacao Nacional,12/28/2015,8872.5,CO$/KG
Cacao Nacional,1/4/2016,8562.5,CO$/KG
Cacao Nacional,1/11/2016,8292.5,CO$/KG
Cacao Nacional,1/18/2016,7922.5,CO$/KG
Cacao Nacional,1/25/2016,8000,CO$/KG
Cacao Nacional,2/1/2016,8090,CO$/KG
Cacao Nacional,2/8/2016,8040,CO$/KG
Cacao Nacional,2/15/2016,7995,CO$/KG
Cacao Nacional,2/22/2016,8280,CO$/KG
Cacao Nacional,2/29/2016,8412.5,CO$/KG
Cacao Nacional,3/7/2016,8247.5,CO$/KG
Cacao Nacional,3/14/2016,8380,CO$/KG
Cacao Nacional,3/21/2016,8152.5,CO$/KG
Cacao Nacional,3/28/2016,8152.5,CO$/KG
Cacao Nacional,4/4/2016,7725,CO$/KG
Cacao Nacional,4/11/2016,7725,CO$/KG
Cacao Nacional,4/18/2016,7725,CO$/KG
Cacao Nacional,4/25/2016,7985,CO$/KG
Cacao Nacional,5/2/2016,8190,CO$/KG
Cacao Nacional,5/9/2016,8190,CO$/KG
Cacao Nacional,5/16/2016,8025,CO$/KG
Cacao Nacional,5/23/2016,8150,CO$/KG
Cacao Nacional,5/30/2016,8100,CO$/KG
Cacao Nacional,6/6/2016,8275,CO$/KG
Cacao Nacional,6/13/2016,8035,CO$/KG
Cacao Nacional,6/20/2016,8205,CO$/KG
Cacao Nacional,6/27/2016,8122.5,CO$/KG
Cacao Nacional,7/4/2016,8080,CO$/KG
Cacao Nacional,7/11/2016,8080,CO$/KG
Cacao Nacional,7/18/2016,7980,CO$/KG
Cacao Nacional,7/25/2016,7735,CO$/KG
Cacao Nacional,8/1/2016,7735,CO$/KG
Cacao Nacional,8/8/2016,8032.5,CO$/KG
Cacao Nacional,8/15/2016,7955,CO$/KG
Cacao Nacional,8/22/2016,7955,CO$/KG
Cacao Nacional,8/29/2016,7955,CO$/KG
Cacao Nacional,9/5/2016,7955,CO$/KG
Cacao Nacional,9/12/2016,7700,CO$/KG
Cacao Nacional,9/19/2016,7700,CO$/KG
Cacao Nacional,9/26/2016,7775,CO$/KG
Cacao Nacional,10/3/2016,7875,CO$/KG
Cacao Nacional,10/10/2016,7875,CO$/KG
Cacao Nacional,10/17/2016,7767.5,CO$/KG
Cacao Nacional,10/24/2016,7767.5,CO$/KG
Cacao Nacional,10/31/2016,7530,CO$/KG
Cacao Nacional,11/7/2016,7607.5,CO$/KG
Cacao Nacional,11/14/2016,7132.5,CO$/KG
Cacao Nacional,11/21/2016,6947.5,CO$/KG
Cacao Nacional,11/28/2016,6947.5,CO$/KG
Cacao Nacional,12/5/2016,6757.5,CO$/KG
Cacao Nacional,12/12/2016,6650,CO$/KG
Cacao Nacional,12/19/2016,6597.5,CO$/KG
Cacao Nacional,12/26/2016,6225,CO$/KG
Cacao Nacional,1/2/2017,6225,CO$/KG
Cacao Nacional,1/9/2017,5955,CO$/KG
Cacao Nacional,1/16/2017,5875,CO$/KG
Cacao Nacional,1/23/2017,5925,CO$/KG
Cacao Nacional,1/30/2017,5907.5,CO$/KG
Cacao Nacional,2/6/2017,5722.5,CO$/KG
Cacao Nacional,2/13/2017,5665,CO$/KG
Cacao Nacional,2/20/2017,5665,CO$/KG
Cacao Nacional,2/27/2017,5665,CO$/KG
Cacao Nacional,3/6/2017,5645,CO$/KG
Cacao Nacional,3/13/2017,5637.5,CO$/KG
Cacao Nacional,3/20/2017,5677.5,CO$/KG
Cacao Nacional,3/27/2017,5750,CO$/KG
Cacao Nacional,4/3/2017,5710,CO$/KG
Cacao Nacional,4/10/2017,5635,CO$/KG
Cacao Nacional,4/17/2017,5212.5,CO$/KG
Cacao Nacional,4/24/2017,5015,CO$/KG
Cacao Nacional,5/1/2017,4642.5,CO$/KG
Cacao Nacional,5/8/2017,4490,CO$/KG
Cacao Nacional,5/15/2017,4882,CO$/KG
Cacao Nacional,5/22/2017,5022,CO$/KG
Cacao Nacional,5/29/2017,4924,CO$/KG
